PROCESS_DATE;PART_I_D;PART_CONSUMPTION
2022-12-01;103376;7.0
2022-12-02;119581;1.0
2022-12-02;118699;0.0
2022-12-02;119584;0.0
2022-12-02;118566;0.0
2022-12-02;119585;0.0
2022-12-02;118229;7.0
2022-12-02;119708;0.0
2022-12-02;117907;0.0
2022-12-02;213489;0.0
2022-12-02;111776;0.0
2022-12-02;103376;2.0
2022-12-03;119581;0.0
2022-12-03;118699;0.0
2022-12-03;119584;0.0
2022-12-03;118566;0.0
2022-12-03;119585;0.0
2022-12-03;118229;0.0
2022-12-03;119708;0.0
2022-12-03;117907;0.0
2022-12-03;213489;0.0
2022-12-03;111776;0.0
2022-12-03;103376;0.0
2022-12-04;119581;0.0
2022-12-04;118699;0.0
2022-12-04;119584;0.0
2022-12-04;118566;0.0
2022-12-04;119585;0.0
2022-12-04;118229;0.0
2022-12-04;119708;0.0
2022-12-04;117907;0.0
2022-12-04;213489;0.0
2022-12-04;111776;0.0
2022-12-04;103376;0.0
2022-12-05;119581;2.0
2022-12-05;118699;1.0
2022-12-05;119584;4.0
2022-12-05;118566;1.0
2022-12-05;119585;0.0
2022-12-05;118229;6.0
2022-12-05;119708;2.0
2022-12-05;117907;0.0
2022-12-05;213489;10.0
2022-12-05;111776;1.0
2022-12-05;103376;10.0
2022-12-06;119581;0.0
2022-12-06;118699;0.0
2022-12-06;119584;6.0
2022-12-06;118566;2.0
2022-12-06;119585;3.0
2022-12-06;118229;1.0
2022-12-06;119708;5.0
2022-12-06;117907;4.0
2022-12-06;213489;30.0
2022-12-06;111776;0.0
2022-12-06;103376;5.0
2022-12-07;119581;7.0
2022-12-07;118699;1.0
2022-12-07;119584;0.0
2022-12-07;118566;6.0
2022-12-07;119585;0.0
2022-12-07;118229;4.0
2022-12-07;119708;1.0
2022-12-07;117907;12.0
2022-12-07;213489;62.0
2022-12-07;111776;1.0
2022-12-07;103376;16.0
2022-12-08;119581;1.0
2022-12-08;118699;0.0
2022-12-08;119584;16.0
2022-12-08;118566;0.0
2022-12-08;119585;2.0
2022-12-08;118229;1.0
2022-12-08;119708;1.0
2022-12-08;117907;0.0
2022-12-08;213489;8.0
2022-12-08;111776;3.0
2022-12-08;103376;8.0
2022-12-09;119581;0.0
2022-12-09;118699;0.0
2022-12-09;119584;0.0
2022-12-09;118566;0.0
2022-12-09;119585;0.0
2022-12-09;118229;2.0
2022-12-09;119708;3.0
2022-12-09;117907;2.0
2022-12-09;213489;2.0
2022-12-09;111776;0.0
2022-12-09;103376;1.0
2022-12-10;119581;0.0
2022-12-10;118699;0.0
2022-12-10;119584;0.0
2022-12-10;118566;0.0
2022-12-10;119585;0.0
2022-12-10;118229;0.0
2022-12-10;119708;0.0
2022-12-10;117907;0.0
2022-12-10;213489;0.0
2022-12-10;111776;0.0
2022-12-10;103376;0.0
2022-12-11;119581;0.0
2022-12-11;118699;0.0
2022-12-11;119584;0.0
2022-12-11;118566;0.0
2022-12-11;119585;0.0
2022-12-11;118229;0.0
2022-12-11;119708;0.0
2022-12-11;117907;0.0
2022-12-11;213489;0.0
2022-12-11;111776;0.0
2022-12-11;103376;0.0
2022-12-12;119581;5.0
2022-12-12;118699;4.0
2022-12-12;119584;3.0
2022-12-12;118566;0.0
2022-12-12;119585;0.0
2022-12-12;118229;0.0
2022-12-12;119708;5.0
2022-12-12;117907;0.0
2022-12-12;213489;8.0
2022-12-12;111776;1.0
2022-12-12;103376;10.0
2022-12-13;119581;4.0
2022-12-13;118699;0.0
2022-12-13;119584;0.0
2022-12-13;118566;0.0
2022-12-13;119585;0.0
2022-12-13;118229;0.0
2022-12-13;119708;1.0
2022-12-13;117907;0.0
2022-12-13;213489;2.0
2022-12-13;111776;1.0
2022-12-13;103376;5.0
2022-12-14;119581;2.0
2022-12-14;118699;0.0
2022-12-14;119584;0.0
2022-12-14;118566;0.0
2022-12-14;119585;0.0
2022-12-14;118229;0.0
2022-12-14;119708;3.0
2022-12-14;117907;2.0
2022-12-14;213489;10.0
2022-12-14;111776;0.0
2022-12-14;103376;10.0
2022-12-15;119581;0.0
2022-12-15;118699;0.0
2022-12-15;119584;1.0
2022-12-15;118566;0.0
2022-12-15;119585;0.0
2022-12-15;118229;0.0
2022-12-15;119708;12.0
2022-12-15;117907;0.0
2022-12-15;213489;24.0
2022-12-15;111776;0.0
2022-12-15;103376;1.0
2022-12-16;119581;0.0
2022-12-16;118699;0.0
2022-12-16;119584;0.0
2022-12-16;118566;0.0
2022-12-16;119585;0.0
2022-12-16;118229;0.0
2022-12-16;119708;2.0
2022-12-16;117907;0.0
2022-12-16;213489;4.0
2022-12-16;111776;0.0
2022-12-16;103376;1.0
2022-12-17;119581;0.0
2022-12-17;118699;0.0
2022-12-17;119584;0.0
2022-12-17;118566;0.0
2022-12-17;119585;0.0
2022-12-17;118229;0.0
2022-12-17;119708;0.0
2022-12-17;117907;0.0
2022-12-17;213489;0.0
2022-12-17;111776;0.0
2022-12-17;103376;0.0
2022-12-18;119581;0.0
2022-12-18;118699;0.0
2022-12-18;119584;0.0
2022-12-18;118566;0.0
2022-12-18;119585;0.0
2022-12-18;118229;0.0
2022-12-18;119708;0.0
2022-12-18;117907;0.0
2022-12-18;213489;0.0
2022-12-18;111776;0.0
2022-12-18;103376;0.0
2022-12-19;119581;0.0
2022-12-19;118699;0.0
2022-12-19;119584;2.0
2022-12-19;118566;1.0
2022-12-19;119585;0.0
2022-12-19;118229;3.0
2022-12-19;119708;5.0
2022-12-19;117907;0.0
2022-12-19;213489;12.0
2022-12-19;111776;1.0
2022-12-19;103376;2.0
2022-12-20;119581;7.0
2022-12-20;118699;0.0
2022-12-20;119584;6.0
2022-12-20;118566;1.0
2022-12-20;119585;1.0
2022-12-20;118229;0.0
2022-12-20;119708;5.0
2022-12-20;117907;19.0
2022-12-20;213489;16.0
2022-12-20;111776;1.0
2022-12-20;103376;6.0
2022-12-21;119581;0.0
2022-12-21;118699;0.0
2022-12-21;119584;0.0
